Region,Branch,Value
EU28,Dział I,0.588
EU28,Dział II,0.412
Wielka Brytania (UK),Dział I,0.673
Wielka Brytania (UK),Dział II,0.327
Francja (FR),Dział I,0.637
Francja (FR),Dział II,0.363
Niemcy (DE),Dział I,0.454
Niemcy (DE),Dział II,0.546
Włochy (IT),Dział I,0.755
Włochy (IT),Dział II,0.245
Holandia (NL),Dział I,0.165
Holandia (NL),Dział II,0.835
Dania (DK),Dział I,0.726
Dania (DK),Dział II,0.274
Szwecja (SE),Dział I,0.771
Szwecja (SE),Dział II,0.229
Belgia (BE),Dział I,0.575
Belgia (BE),Dział II,0.425
Finlandia (FI),Dział I,0.815
Finlandia (FI),Dział II,0.185
Irlandia (IE),Dział I,0.655
Irlandia (IE),Dział II,0.345
Austria (AT),Dział I,0.323
Austria (AT),Dział II,0.677
Portugalia (PT),Dział I,0.652
Portugalia (PT),Dział II,0.348
Chechy (CZ),Dział I,0.314
Chechy (CZ),Dział II,0.686
Grecja (GR),Dział I,0.498
Grecja (GR),Dział II,0.502
Węgry (HU),Dział I,0.463
Węgry (HU),Dział II,0.537
Luksemburg (LU),Dział I,0.632
Luksemburg (LU),Dział II,0.368
Słowenia (SL),Dział I,0.304
Słowenia (SL),Dział II,0.696
Słowacja (SK),Dział I,0.455
Słowacja (SK),Dział II,0.545
Rumunia (RO),Dział I,0.198
Rumunia (RO),Dział II,0.802
Chorwacja (HR),Dział I,0.318
Chorwacja (HR),Dział II,0.682
Bułgaria (BG),Dział I,0.138
Bułgaria (BG),Dział II,0.862
Cypr (CY),Dział I,0.359
Cypr (CY),Dział II,0.641
Litwa (LT),Dział I,0.348
Litwa (LT),Dział II,0.652
Malta (MT),Dział I,0.715
Malta (MT),Dział II,0.285
Estonia (EE),Dział I,0.199
Estonia (EE),Dział II,0.801
Łotwa (LV),Dział I,0.193
Łotwa (LV),Dział II,0.807
Polska (PL),Dział I,0.349
Polska (PL),Dział II,0.651
